Author	n (strains)	publication title	journal	publication URL	strains
Weijun Chen et al	1	Genomic characterisation and epidemiology of 2019 novel coronavirus: implications for virus origins and receptor binding	unknown	https://dx.doi.org/10.1016/S0140-6736(20)30251-8	Wuhan/WH01/2019
Rockett R et al	1	Revealing COVID-19 transmission in Australia by SARS-CoV-2 genome sequencing and agent-based modeling	unknown	https://www.nature.com/articles/s41591-020-1000-7	Australia/NSW02/2020
Zhang et al	1	A new coronavirus associated with human respiratory disease in China	unknown	https://dx.doi.org/10.1038/s41586-020-2008-3	Wuhan/Hu-1/2019
Tsuyoshi Sekizuka et al A	1	A genome epidemiological study of SARS-CoV-2 introduction into Japan	unknown	https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1	Japan/PG-0165/2020
Potdar V et al	1	Full-genome sequences of the first two SARS-CoV-2 viruses from India	unknown	https://dx.doi.org/10.4103/ijmr.IJMR_663_20	India/MH-1-27/2020
Caly L. et al A	3	Tracking the COVID-19 pandemic in Australia using genomics	unknown	https://dx.doi.org/10.1101/2020.05.12.20099929	Australia/VIC14/2020,Australia/VIC13/2020,Australia/VIC07/2020
Bixing Huang et al	1	unknown	unknown	unknown	Australia/QLDID922/2020
Amirtharaj Francis et al	3	unknown	unknown	unknown	UnitedArabEmirates/skmc-0442954/2020,UnitedArabEmirates/skmc-920168117/2020,UnitedArabEmirates/skmc-3460545/2020
Beard et al	1	unknown	unknown	unknown	Australia/VPRL014/2020
Lex Leong et al	45	unknown	unknown	unknown	Australia/SA0305/2020,Australia/SA0097/2020,Australia/SA0385/2020,Australia/SA0664/2021,Australia/SA0212/2020,Australia/SA0600/2020,Australia/SA0093/2020,Australia/SA0657/2021,Australia/SA0677/2021,Australia/SA0683/2021,Australia/SA0601/2020,Australia/SA0355/2020,Australia/SA0684/2021,Australia/SA0637/2021,Australia/SA0640/2021,Australia/SA0646/2021,Australia/SA0473/2020,Australia/SA0476/2020,Australia/SA0480/2020,Australia/SA0481/2020,Australia/SA0597/2020,Australia/SA0624/2021,Australia/SA0643/2021,Australia/SA0644/2021,Australia/SA0686/2021,Australia/SA0647/2021,Australia/SA0650/2021,Australia/SA0672/2021,Australia/SA0675/2021,Australia/SA0638/2021,Australia/SA0671/2021,Australia/SA0681/2021,Australia/SA0663/2021,Australia/SA0636/2021,Australia/SA0653/2021,Australia/SA0678/2021,Australia/SA0679/2021,Australia/SA0652/2021,Australia/SA0676/2021,Australia/SA0680/2021,Australia/SA0670/2021,Australia/SA0668/2021,Australia/SA0655/2021,Australia/SA0649/2021,Australia/SA0662/2021
Caly et al	1	Isolation and rapid sharing of the 2019 novel coronavirus (SARS-CoV-2) from the first patient diagnosed with COVID-19 in Australia	unknown	https://dx.doi.org/10.5694/mja2.50569	Australia/VIC01/2020
Bengner et al	1	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	Sweden/01/2020
Dominic N.C. Tsang et al	1	unknown	unknown	unknown	HongKong/VM20002907/2020
Kenneth Siu-Sing LEUNG et al	1	A territory-wide study of early COVID-19 outbreak in Hong Kong community: A clinical, epidemiological and phylogenomic investigation	unknown	https://dx.doi.org/10.1101/2020.03.30.20045740	HongKong/HKPU29_0102/2020
JianXiong Li et al	1	unknown	unknown	unknown	Fuzhou/JX2019/2020
Octavia S et al	1	unknown	unknown	unknown	Singapore/9/2020
Eden J-S et al	3	Revealing COVID-19 transmission in Australia by SARS-CoV-2 genome sequencing and agent-based modeling	unknown	https://www.nature.com/articles/s41591-020-1000-7	Australia/NSW03/2020,Australia/NSW04/2020,Australia/NSW01/2020
Daniel F Gudbjartsson et al A	2	Spread of SARS-CoV-2 in the Icelandic Population	unknown	https://dx.doi.org/10.1056/NEJMoa2006100	Iceland/13/2020,Iceland/188/2020
Nato Kotaria et al	1	unknown	unknown	unknown	Georgia/Tb-54/2020
BRC: Fatiha M. Benslimane et al	20	unknown	unknown	unknown	Qatar/QA-QU_05-G7/2020,Qatar/QA-QU_16-C7/2021,Qatar/QA-QU_07-1-F7/2020,Qatar/QA-QU_07-1-C2/2020,Qatar/QA-QU_03-B8/2020,Qatar/QA-QU_19-1-B11/2021,Qatar/QA-QU_18-10-D7/2021,Qatar/QA-QU_18-8-F7/2021,Qatar/QA-QU_18-3-B12/2021,Qatar/QA-QU_18-10-D8/2021,Qatar/QA-QU_18-10-D9/2021,Qatar/QA-QU_18-10-D2/2021,Qatar/QA-QU_18-9-B9/2021,Qatar/QA-QU_02-2-59/2020,Qatar/QA-QU_18-C6/2021,Qatar/QA-QU_17-G1/2021,Qatar/QA-QU_18-5-2-C1/2021,Qatar/QA-QU_18-H7/2021,Qatar/QA-QU_18-10-B10/2021,Qatar/QA-QU_18-F10/2021
Matt Storey et al A	17	unknown	unknown	unknown	NewZealand/20VR1597/2020,NewZealand/20VR1076/2020,NewZealand/20VR1109/2020,NewZealand/20VR1900/2020,NewZealand/20VR2108/2020,NewZealand/20VR2109/2020,NewZealand/20VR1499/2020,NewZealand/20VR0993/2020,NewZealand/20VR1115/2020,NewZealand/20VR2015/2020,NewZealand/20VR2085/2020,NewZealand/20VR2931/2020,NewZealand/20VR1078/2020,NewZealand/20VR1756/2020,NewZealand/20VR1133/2020,NewZealand/20VR3003/2020,NewZealand/20VR2659/2020
