strain	date	S1_mutations	clade_membership	country	current_frequency	division	emerging_lineage	epiweek	genbank_accession	host	pango_lineage	recency	region	url	author	accession	originating_lab	submitting_lab	logistic_growth
Wuhan-Hu-1/2019	2019-12-26		19A	China		China		201952	MN908947	Homo sapiens	B	Older	Asia		Wu et al				
HongKong/HKU-913a/2020	2020-01-31		19A	Hong Kong		Hong Kong		202005	MT365030	Homo sapiens	B	Older	Asia		To et al				
Wuhan/WH01/2019	2019-12-26		19A	China		Hubei		201952	LR757998	Homo sapiens	B	Older	Asia		Hunter et al		BGI, Institute of Microbiology, Chinese Academy of Sciences, Shandong First Medical University and General Hospital of Central Theater Command of People's Liberation Army of China	EBI	
EGY/CCHE57357_Wave_3_A_009/2021	2021-05-04	1.00	19A	Egypt		Egypt		202118	MZ364990	Homo sapiens	B.1.1.194	Older	Africa		Hatem et al A				
EGY/CCHE57357_Wave_3_A_023/2021	2021-05-08	3.00	19A	Egypt		Egypt		202118	MZ364992	Homo sapiens	B.23	Older	Africa		Hatem et al B				
AUS/SA04/2020	2020-01-30		19A	Australia		South Australia		202005	MT745749	Homo sapiens	B.1	Older	Oceania		Caly et al A		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
AUS/SA01/2020	2020-01-30		19A	Australia		South Australia		202005	MT745746	Homo sapiens	B.1	Older	Oceania		Caly et al B		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
AUS/SA02/2020	2020-01-30		19A	Australia		South Australia		202005	MT745747	Homo sapiens	B.1	Older	Oceania		Caly et al C		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
AUS/SA03/2020	2020-01-30		19A	Australia		South Australia		202005	MT745748	Homo sapiens	B.1	Older	Oceania		Caly et al D		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
IRN/12624/2020	2020-04-28		19A	Iran		Iran		202018	MZ359830	Homo sapiens	B.4	Older	Asia		Azadmanesh et al				
IRN/Iran/2020	2020-03-26	1.00	19A	Iran		Iran		202013	MT646036	Homo sapiens	B.4	Older	Asia		Rafigh et al				
IRN/COVID19-IRVSH3/2020	2020-05-01	1.00	19A	Iran		Iran		202018	MT994286	Homo sapiens	B.4	Older	Asia		Shahabzadeh et al				
TWN/CGMH-CGU-04/2020	2020-02-27		19A	Taiwan		Taiwan		202009	MT370517	Homo sapiens	B.4	Older	Asia		Tsao et al A				
TUN/COV0880/2020	2020-03-28	1.00	19A	Tunisia		Tunisia		202013	MT499216	Homo sapiens	B.4	Older	Africa		Fares et al A				
GEO/Tb-7851/2020	2020-05-01	1.00	19A	Georgia		Georgia (Asia)		202018	MT786438	Homo sapiens	B.4	Older	Asia		Imnadze et al				
AUS/VIC1519/2020	2020-04-28		19A	Australia		Victoria		202018	MT612149	Homo sapiens	B.4	Older	Oceania		Caly et al E		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
NZL/20VR0174/2020	2020-02-27		19A	New Zealand		New Zealand		202009	MZ331872	Homo sapiens	B.4	Older	Oceania		Geoghegan et al A			Institute of Environmental Science and Research	
Netherlands/Loon_op_zand_1363512/2020	2020-02-29		19A	Netherlands		North Brabant		202009	LR878361	Homo sapiens	B.11	Older	Europe		Fouchier et al			European Bioinformatics Institute	
AUS/VIC14/2020	2020-02-02		19A	Australia		Victoria		202006	MT450931	Homo sapiens	B	Older	Oceania		Seemann et al A		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
Finland/FIN-1-VE6-P4/2020	2020-01-29	2.00	19A	Finland		Finland		202005	MW718194	Homo sapiens	B	Older	Europe		Cantuti-Castelvetri et al				
DEU/NRW-10/2020	2020-02-28		19A	Germany		North Rhine Westphalia		202009	MT582490	Homo sapiens	B.3	Older	Europe		Houwaart et al A		Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Dusseldorf	Heinrich Heine University	
HongKong/HKPU-00041/2020	2020-04-04		19A	Hong Kong		Hong Kong		202014	MZ266390	Homo sapiens	B.3	Older	Asia		Siu et al A				
TWN/CGMH-CGU-01/2020	2020-01-25		19A	Taiwan		Taiwan		202004	MT192759	Homo sapiens	B	Older	Asia		Tsao et al B				
USA/MO-QDX-2595/2020	2020-03-15		19A	USA		Missouri		202012	MW191380	Homo sapiens	B.23	Older	North America		Rosenthal et al A		Quest Diagnostics	Quest Diagnostics	
NZL/20VR2932/2020	2020-04-25		19A	New Zealand		New Zealand		202017	MZ332342	Homo sapiens	B.23	Older	Oceania		Geoghegan et al B			Institute of Environmental Science and Research	
EGY/EGY_CCHE57357_A_75/2020	2020-07-28		19A	Egypt		Egypt		202031	MW467478	Homo sapiens	A	Older	Africa		Hatem et al C				
KOR/KCDC12-NCCP43330/2020	2020-03-17		19A	South Korea		South Korea		202012	MW466795	Homo sapiens	B	Older	Asia		Kim et al A				
HongKong/Case0297/2020	2020-03-12		19A	Hong Kong		Hong Kong		202011	MW181702	Homo sapiens	B	Older	Asia		Siu et al B				
England/BRIS-121AA0/2020	2020-03-16		19A	United Kingdom		England		202012	FR996380	Homo sapiens	B	Older	Europe		Hutchings et al		PHE South West Regional Laboratory, National Infection Service	EBI	
VNM/nCoV-19-02S/2020	2020-01-22		19A	Vietnam		Southeast Region		202004	MT192773	Homo sapiens	B	Older	Asia		Nguyen et al A				
CHN/P5-SARS-CoV-2/2020	2020-01-25		19A	China		Hunan		202004	MW011763	Homo sapiens	B	Older	Asia		Qiu et al				
AUS/VIC01/2020	2020-01-25	1.00	19A	Australia		Victoria		202004	MT007544	Homo sapiens	B	Older	Oceania		Caly et al F		Monash Medical Centre	The Peter Doherty Institute for Infection and Immunity	
HongKong/44_0102/2020	2020-02-10		19A	Hong Kong		Hong Kong		202007	MT232686	Homo sapiens	B.43	Older	Asia		Leung et al				
SWE/01/2020	2020-02-07		19A	Sweden		Sweden		202006	MT093571	Homo sapiens	B	Older	Europe		Bengner et al				
THA/MUMT-4/2020	2020-03-03	1.00	19A	Thailand		Thailand		202010	MT781414	Homo sapiens	B	Older	Asia		Sangsiriwut et al				
AUS/VIC509/2020	2020-03-22		19A	Australia		Victoria		202013	MT641682	Homo sapiens	B.31	Older	Oceania		Caly et al G		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
NZL/20VR1857/2020	2020-03-30		19A	New Zealand		New Zealand		202014	MZ332041	Homo sapiens	B.28	Older	Oceania		Geoghegan et al C			Institute of Environmental Science and Research	
DEU/NRW-54/2020	2020-03-20		19A	Germany		North Rhine Westphalia		202012	MT582447	Homo sapiens	B	Older	Europe		Houwaart et al B		Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Dusseldorf	Heinrich Heine University	
LKA/COV486/2020	2020-03-31		19A	Sri Lanka		Sri Lanka		202014	MT371050	Homo sapiens	B	Older	Asia		Jeewandara et al				
THA/SI201712-NT/2020	2020-02-03		19A	Thailand		Thailand		202006	MT447161	Homo sapiens	B	Older	Asia		Rodpan et al A				
ITA/INMI1/2020	2020-01-30		19A	Italy		Italy		202005	MT066156	Homo sapiens	B	Older	Europe		Capobianchi et al				
THA/SI200478-NST/2020	2020-01-26		19A	Thailand		Thailand		202005	MT447159	Homo sapiens	B	Older	Asia		Rodpan et al B				
AUS/VIC03/2020	2020-01-25		19A	Australia		Victoria		202004	MT450920	Homo sapiens	B	Older	Oceania		Seemann et al B		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
AUS/VIC02/2020	2020-01-24		19A	Australia		Victoria		202004	MT450919	Homo sapiens	B	Older	Oceania		Seemann et al C		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
